Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
23,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,2 - Director,Internal Services,100%,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,5,2 - Director,N,0,40 to 49,44,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.894849614
24,Male,5 - Senior Officer,N,4,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,26,United Kingdom,Europe,Europe,4/1/2014,6,0.158706764
25,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,France,Europe,Europe,4/1/2014,6,0.087138317
26,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.458908175
27,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,5 - Senior Officer,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.710222963
28,Male,5 - Senior Officer,N,4,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,20 to 29,27,Italy,Europe,Europe,4/1/2016,4,0.02405726
29,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Finance,Stay,5 - Senior Officer,Finance,100%,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,Italy,Europe,Europe,4/1/2016,4,0.048844083
30,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.706131558
31,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.686246129
32,Male,4 - Manager,N,1,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.945590912
33,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,Germany,Europe,Europe,4/1/2014,6,0.241180407
34,Female,5 - Senior Officer,N,1,Yes,Yes,0.50,No,Y,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,5,5 - Senior Officer,N,2,30 to 39,37,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.700077279
35,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,5 - Senior Officer,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.208612361
36,Male,3 - Senior Manager,N,1,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Portugal,Europe,Europe,4/1/2015,5,0.673799168
37,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.908623113
38,Female,6 - Junior Officer,Y,0,No,No,0.50,No,N,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,NA,N,0,20 to 29,27,Italy,Europe,Europe,4/1/2020,0,0.798597867
39,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,5 - Senior Officer,Internal Services,100%,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.266357737
40,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Germany,Europe,Europe,4/1/2017,3,0.946636415
41,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,France,Europe,Europe,4/1/2018,2,0.539963751
42,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.121987731
43,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.99920754
44,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Italy,Europe,Europe,4/1/2018,2,0.038215663
45,Male,2 - Director,N,2,No,No,0.50,Yes,Y,Internal Services,FY20,LEFT,Internal Services,100%,Full Time,Inconclusive,2 - Director & Internal Services,Even,2 - Director,3,2 - Director,N,3,50 to 59,54,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.332326823
46,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.11099098
47,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,Stay,4 - Manager,HR,100%,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Austria,Europe,Europe,4/1/2016,4,0.633475703
48,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,4/1/2017,3,0.24544541
49,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,HR,Stay,6 - Junior Officer,HR,100%,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.580440883
50,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Austria,Europe,Europe,4/1/2018,2,0.734734251
51,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,6,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.566666627
52,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,4/1/2012,8,0.085358691
53,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.282376456
54,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,7,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.430554891
55,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.680320158
56,Male,6 - Junior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.52207095
57,Female,4 - Manager,N,0,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,38,United Kingdom,Europe,Europe,4/1/2016,4,0.516070977
58,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.769316897
59,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.131080765
60,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,38,France,Europe,Europe,4/1/2017,3,0.500393243
61,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,23,France,Europe,Europe,4/1/2019,1,0.101423551
62,Female,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,80%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,50 to 59,56,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.457212728
63,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,20,United States,Americas,Elsewhere,4/1/2019,1,0.005628726
64,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,2 - Director,Sales & Marketing,100%,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.150356938
65,Female,2 - Director,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,2 - Director,Sales & Marketing,100%,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,45,France,Europe,Europe,4/1/2016,4,0.767308585
66,Female,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,39,Germany,Europe,Europe,4/1/2015,5,0.827981403
67,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,1,40 to 49,46,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.27583456
68,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,5,5 - Senior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.844018772
69,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,United Kingdom,Europe,Europe,4/1/2018,2,0.312218915
70,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.133457533
71,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,40,Portugal,Europe,Europe,4/1/2011,9,0.186224983
72,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,France,Europe,Europe,4/1/2016,4,0.475186016
73,Male,2 - Director,Y,0,No,No,0.50,No,N,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,NA,N,0,50 to 59,51,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.637747625
74,Female,5 - Senior Officer,N,0,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,80%,Part Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.239758498
75,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.400716676
76,Female,4 - Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,Stay,3 - Senior Manager,Internal Services,100%,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,4,4 - Manager,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.430896135
77,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,3 - Senior Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,41,Germany,Europe,Europe,4/1/2016,4,0.148656461
78,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,70%,Part Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.14275181
79,Male,6 - Junior Officer,Y,0,No,No,0.50,No,N,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,26,Germany,Europe,Europe,4/1/2020,0,0.245181029
80,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,50%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,France,Europe,Europe,4/1/2014,6,0.371502507
81,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,Stay,2 - Director,Operations,100%,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.348216364
82,Male,6 - Junior Officer,N,1,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.652288226
83,Female,6 - Junior Officer,N,4,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.242343062
84,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.179205415
85,Male,2 - Director,N,4,No,No,0.50,Yes,Y,Internal Services,FY20,LEFT,Internal Services,100%,Full Time,Inconclusive,2 - Director & Internal Services,Even,2 - Director,2,2 - Director,N,4,30 to 39,33,France,Europe,Europe,4/1/2017,3,0.120401536
86,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.045788989
87,Male,1 - Executive,N,0,No,No,0.50,No,Y,Internal Services,Stay,1 - Executive,Internal Services,100%,Full Time,NA,NA,NA,NA,3,1 - Executive,N,2,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.319191361
88,Male,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,HR,Stay,5 - Senior Officer,HR,100%,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.392209386
